Bupleurum longicaule
Bupleurum rotundifolium
Bursera graveolens
Butea monosperma
Cadaba fruticosa
Caesalpinia bonduc
Caesalpinia coriaria
Caesalpinia decapetala
Caesalpinia digyna
Caesalpinia pulcherrima
Caesalpinia sappan
Caesulia axillaris
Cajanus cajan
Calendula officinalis
Callistemon citrinus
Callistemon lanceolatus
Callistemon polandii
Calophyllum inophyllum
Calophyllum soulattri
Calotropis gigantea
Calotropis procera
Calystegia hederacea
Camellia japonica
Camellia sinensis
Campsis grandiflora
Cananga odorata
Canavalia ensiformis
Canavalia gladiata
Cannabis sativa
Canscora alata
Canscora diffusa
Capillipedium parviflorum
Capparis decidua
Capparis grandis
Capparis rotundifolia
Capparis sepiaria
Capparis spinosa
Capparis zeylanica
Capsicum annuum
Carapichea ipecacuanha
Cardiospermum halicacabum
Careya arborea
Carica papaya
Carissa carandas
Carissa spinarum
Carpesium abrotanoides
Carthamus oxyacantha
Carthamus tinctorius
Carum carvi
Carya illinoinensis
Caryota urens
Cascabela thevetia
Casimiroa edulis
Cassia fistula
Cassia grandis
Cassia javanica
Cassia renigera
Cassia roxburghii
Cassine glauca
Cassine paniculata
Cassytha filiformis
Castanea sativa
Castanopsis indica
Castanopsis lanceifolia
Catha edulis
Catharanthus pusillus
Catharanthus roseus
Catunaregam spinosa
Cedrus deodara
Cedrus libani
Ceiba pentandra
Celastrus paniculatus
Celosia argentea
Centaurea behen
Centaurea calcitrapa
Centaurea iberica
Centaurea melitensis
Centella asiatica
Ceratophyllum demersum
Cerbera manghas
Ceriops decandra
Ceropegia juncea
Cestrum nocturnum
Cestrum parqui
Ceterach officinarum
Chaerophyllum reflexum
Chamaecrista absus
Chamaecrista mimosoides
Chamaecrista pumila
Chamaecyparis lawsoniana
Chamaecyparis obtusa
Chamaemelum nobile
Cheilocostus speciosus
Chenopodium album
Chiococca alba
Chionanthus ramiflorus
Chlorophytum arundinaceum
Chloroxylon swietenia
Chonemorpha fragrans
Chromolaena odorata
Chrysanthemum indicum
Chrysophyllum cainito
Chrysopogon zizanioides
Chukrasia tabularis
Cicer arietinum
Cicer microphyllum
Cichorium endivia
Cichorium intybus
Cinchona calisaya
Cinnamomum bejolghota
Cinnamomum camphora
